DATE; PX_LAST;PX_CLOSE_1D;CF_CASH_FROM_OPER;EXPLORATION_COST;FINDING_COST_BOE;BS_LT_BORROW;CAPEX_TO_TOTAL_ASSETS;E&P_CAPITAL_EXPENDITURES;CAPITAL_EXPEND;SUCCESS_RATE;PRODUCTIVE_GAS_WELLS_GROSS;PRODUCTIVE_OIL_WELLS_GROSS;DEVEL_WELLS_DRILLED_NET_US;EXPLOR_WELLS_DRILLED_NET_US;PRODUCTIVE_OIL_WELLS_NET_US;PRODUCTIVE_OIL_WELLS_GROSS_US;DEVEL_WELLS_DRILLED_GROSS_US;PRODUCTIVE_GAS_WELLS_NET_US;PRODUCTIVE_GAS_WELLS_GROSS_US;EXPLOR_WELLS_DRILLED_NET;DEVEL_WELLS_DRILLED_NET;PRODUCTIVE_GAS_WELLS_NET;PRODUCTIVE_OIL_WELLS_NET;NET_DEVELOPED_ACREAGE_US;GROSS_DEVELOPED_ACREAGE_US;NET_UNDEVELOPED_ACREAGE_US;GROSS_DEVELOPED_ACREAGE;GROSS_UNDEVELOPED_ACREAGE;NET_UNDEVELOPED_ACREAGE;NET_DEVELOPED_ACREAGE;RESERVE_REPLACEMENT_BOE;OIL_RESERVES_END_YEAR_WORLDWIDE;OIL_RESERVES_END_YR_US;GAS_END_YEAR_WORLD;GAS_RESERVES_END_YR_US;OIL_PRODUCTION_WORLD_MBBL_DY;OIL_PRODUCTION_US_MBBL_DY;GAS_PRODUCTION_WORLD_MMCF_DY;GAS_PRODUCTION_US_MMCF_DY;BOE_END_YEAR_WORLD;BOE_RESERVES_END_YR_US;TOTAL_PRODUCTION_MMBOE;DAILY_PROD_MBOE_US;TOTAL_PRODUCTION_WORLD_MBOE_DY;Dummy;;Tick
#NAVN?;14,8683;13,4294;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
31.12.1986;13,1896;14,8683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1987;11,6908;13,1896;2010;;;6422;;;-613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
30.12.1988;12,1704;11,6908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1988;;;1736;;;7688;;;-1193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
29.12.1989;14,2088;12,1704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1989;;;1609;;;8217;;;-1388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1990;8,8131;14,2088;1528;;;7492;;;-1321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1991;8,5733;8,8131;727;;;5925;;;-1068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1992;8,1536;8,5733;550;;;5806;;;-860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1993;8,1536;8,1536;608;;;6047;;;-1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
30.12.1994;9,2327;8,1536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1994;;;760;;;6114;;;-1103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
29.12.1995;10,2519;9,2327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1995;;;1501;;;4819;;;-979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1996;11,2112;10,2519;1987;;;4511;;;-1038;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1997;14,0589;11,2112;1397;;;4925;;;-1549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.1998;8,0936;14,0589;80;140;2,8283;5367;4,9239;751;-1074;91,7258;;;;;;;;;;3,1;268,5;;;;;;;;;;243,2143;;;2336;1898;321;;703;;1538,333;761,33;159,9308;183,333;438,1667;0;TG;OXY 
31.12.1999;10,3718;8,0936;1044;103;2,1384;4368;;;-618;92,6906;2161;4790;90,2;1;3064;3765;;1762;2128;1;205,7;1775;3711;1365;2458;669;15172;19269;10843;7430;53,8049;;;1892;1806;306,4;73,973;714;663,0137;1352,3333;765;155,271;184,4753;425,4;0;TG;OXY 
29.12.2000;11,6309;10,3718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.2000;;;2401;134;2,4512;5185;;;-952;93,4103;2254;15030;310,2;1,6;8754;13943;;1890;2222;2,9;442,2;1903;9332;1870;3625;1267;18973;19688;10144;9433;587,0168;;;2210;2094;343;172,603;708;660,274;2171,3333;1695;168,726;282,6487;461;0;TG;OXY 
31.12.2001;12,7244;11,6309;2652;171;2,2402;4528;;;-1401;92,1226;2258;17865;478;3;11413;16673;;1858;2226;6,1;552,9;1871;12044;2760;3622;1116;4840;34389;19980;3178;140,616;;;2068;1962;366;213;660;610;2241,6667;1698;173,74;314,6667;476;0;TG;OXY 
31.12.2002;13,6453;12,7244;2100;134;2,68;3997;;;-1236;92,3;2442;17975;276,4;2,9;10723;16586;;2014;2399;8,4;363,2;2028;11438;2782;3836;1092;5547;31182;16545;3302;137,1125;;;2049;1821;387;232;627;564;2311,5;1755,5;179,3975;326;491,5;0;TG;OXY 
31.12.2003;20,2593;13,6453;3074;97;0,6621;3993;6,8087;1237;-1600;92,6418;2484;18842;312,3;1;11743;17346;;2046;2441;4,8;406,9;2067;12539;2853;4248;1181;5377;34819;16317;3385;179,4827;;;2594;1826;419;256;606;532;2470,333;1804,3333;189,8;344,6667;520;0;TG;OXY 
31.12.2004;27,9908;20,2593;3878;158;2,4752;3345;7,7088;1649;-1843;96,6288;2548;19729;382,6;4,2;12192;18073;;2107;2506;11,4;490,2;2131;13072;2909;4348;1039;5590;26292;14638;3446;129,7341;;;2975;2101;434;254;637;507;2531,8333;1844,1667;197,701;338,5;540,1667;0;TG;OXY 
30.12.2005;38,3123;27,9908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.2005;;;5337;242;2,048;2873;7,7639;2027;-2324;95,6563;2711;20749;478,7;1,5;13234;18592;;2198;2656;7,7;604,5;2230;14280;2999;4450;1118;5818;72207;47145;3558;195,7243;;;3478;2338;389;253;674;553;2610,6667;2025,6667;191,99;345,1666;526;0;TG;OXY 
29.12.2006;46,84;38,3123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
31.12.2006;;;6353;314;9,3267;2619;8,3346;2703;-2987;95,6839;3436;26039;562,6;0,5;15796;21698;;2712;3181;16,2;810,7;2938;18821;3097;4597;1118;7406;70998;43894;4348;241,6199;;;3724;2424;440;256;652;588;2863,6667;2064;198,925;354;545;0;;OXY 
31.12.2007;73,8523;46,84;6798;327;14,3212;1741;8,779;3206;-3497;98,7618;3596;28386;467,8;2,5;16782;23697;;2841;3350;11,5;905,8;3060;20015;3337;5076;1133;6978;42522;30233;4389;102,7978;;;3843;2672;453;260;714;593;2869,5;2152,3333;208,05;358,8333;570;0;TG;OXY 
31.12.2008;57,5452;73,8523;10652;341;14,4085;2049;9,2568;3845;-4664;95,8858;4908;227514;751,4;6,6;18611;24344;;4107;4668;25,2;1102,8;4319;22229;3107;4626;1430;6540;40654;29502;4193;78,6197;;;4452;3153;463;263;837;587;2822;2072,5;220,698;361;603;0;TG;OXY 
31.12.2009;78,0346;57,5452;5807;207;2,2664;2557;;;-3245;95,7164;5760;32073;238,8;5,5;18987;25875;;4550;5485;13,2;505,2;4768;23224;3627;5628;1693;7680;23222;19843;4778;225,3184;1974;1385;5027;2799;516;271;967;635;3100,8333;2072,5;262,07;376,8333;718;0;TG;OXY 
31.12.2010;94,102;78,0346;9566;316;75,84;5111;;;-3940;95,6254;5769;32883;499,9;8,4;20758;26492;;4600;5516;11,1;673,1;4793;25090;4522;7724;2632;9808;26220;20573;5708;125,5029;2012;1460;5138;3034;453;219;1146;677;3166,3333;2202,6667;259,515;383,8333;711;0;TG;OXY 
30.12.2011;89,8813;94,102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;OXY 
31.12.2011;;;12281;520;21,2245;5871;;;-7518;98,0518;7082;35016;980,3;17,7;21052;31538;;5470;6933;22,1;1231,1;5559;22881;4646;7873;2748;9207;24720;19565;5280;103,3022;2008;1526;5323;3365;450;230;1223;782;3175,1667;2311,8333;267,545;429,3333;733;0;TG;OXY 
31.12.2012;73,4878;89,8813;11312;654;2,821;7023;;;-10226;96,7435;6904;31404;1318,3;44,9;22870;27030;;5942;6743;48,2;1642,2;6039;25142;5012;8373;3042;9727;23750;18507;5657;143,2578;2036;1567;5568;2889;470;255;1286;821;3296;2264,5;280,356;464,8333;766;0;TG;OXY 
31.12.2013;91,2243;73,4878;12778;383;4,7875;6939;;;-7357;96,2363;7690;33735;608,1;26,2;25334;28846;;6754;7508;31,6;919,6;6862;27859;5307;8816;2906;10272;12180;7342;5997;170,2703;1613;1131;4723;2012;384;176;974;528;2738;1670;222,285;321;609;0;TG;OXY 
31.12.2014;80,5774;91,2243;11068;563;13,7317;6838;;;-8930;99,4684;4480;22096;451,9;26,9;14518;16794;;3776;4272;34,4;770,2;3895;17271;3278;7146;1230;8685;10035;5629;4009;137,156;1770;1273;4127;1714;383;183;909;0,0005;2819;1781;217,905;238,0001;597;0;TG;OXY 
31.12.2015;67,5827;80,5774;3351;142;28,4;6883;;;-5381;99,1058;4356;22180;391;17;14300;16492;;3681;4144;20;645;3804;17263;3017;6668;573;7993;9913;5964;3692;-151,626;1309;915;3368;1019;416;187;978;420;2200;1271;243,82;312;668;0;TG;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;OXY 
#NAVN?;3,1563;3,1563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
31.12.1990;2,6563;3,1563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1991;2,4375;2,6563;241,876;;;422,392;;;-211,673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1992;3,6719;2,4375;306,404;;;150;;;-362,403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1993;4,875;3,6719;479,664;;;153;;;-383,064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
30.12.1994;4,6875;4,875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1994;;;425,897;;;190,337;;;-442,078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
29.12.1995;6;4,6875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1995;;;335,355;;;289,049;;;-487,091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1996;6,3125;6;365,11;;;466,089;;;-594,339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1997;5,2969;6,3125;530,929;;;741,275;;;-683,894;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.1998;4,3125;5,2969;403,606;136,583;0,4888;1142,7791;25,811;779;-756,292;85,4124;5253;897;;;;;;;;11,8;444,08;3788;506;;;;2134,3169;6506,1299;5403,4321;1227,356;447,2845;;;5228,8999;2853,3999;24,7;;971;;976,0533;512,42;69,5082;128,5;190,4333;0;TG;EOG 
31.12.1999;4,3906;4,3125;442,132;86,458;1,2851;990,306;;;-467,495;;;;;;;;;;;;;;;;;;1959,458;3109,198;2534,765;1252,494;-464,9848;;;3175,3;1657,2;23,5;14,4;938;654;601,7227;324,047;66,8802;127,6;183,2333;0;TG;EOG 
29.12.2000;13,6563;4,3906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.2000;;;967,41;122,795;1,7305;859;;;-687,171;;;;;;;;;;;;;;;;;;2592,079;6207,86;3415,61;1533,219;151,782;;;3380,6;1821,4;27,5;22,8;908;654;636,8353;355,5797;67,1732;135,8;183,5333;0;TG;EOG 
31.12.2001;9,7775;13,6563;1197,427;202,744;1,5178;855,969;;;-1112,843;;;;;;;;;;;;;;;;;;2870,009;4744,494;3210,444;1720,689;200,6458;;;3796,5;2007,3;25,8;22;921;680;704,884;386,933;66,9045;138,8333;183,3;0;TG;EOG 
31.12.2002;9,98;9,7775;668,57;166,425;1,5559;1145,132;;;-774,355;;;;;;;;;;;;;;;;;;2862,987;4973,955;3335,638;1940,82;192,9026;;;4090,6;2006,2;23,3;18,8;924;635;766,9817;397,7217;66,065;127,5333;181;0;TG;EOG 
31.12.2003;11,5425;9,98;1320,3;206,672;1,6366;1108,872;28,069;1333;-1280,74;;;;;;;;;;;;;;;;;;3885,737;5466,487;3780,249;2580,503;248,7454;;;4644,8;2101,6;23,2;18,5;955;638;869,3963;423,2747;67,9508;128,03;186,1667;0;TG;EOG 
31.12.2004;17,84;11,5425;1444,347;306,583;2,1648;1077,622;0,026;1,51;-1416,684;93,6962;17701;1704;;;;;;;;47,2;1706,7;14765;1145;;;;3654,876;6814,627;4304,539;2536,828;194,054;;;5047;2382,5;27,4;21,1;1036;631;941,1257;472,8713;75,274;131,0667;205,6667;0;TG;EOG 
30.12.2005;36,685;17,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.2005;;;2369,426;370,096;2,1237;858,992;0,0242;1,878;-1724,763;93,9101;18739;1751;;;;;;;;49,6;1310,5;15644;1201;1154,726;1918,069;2804,623;3728,93;7640,599;5011,987;2641,281;203,6073;;;5557,4;2948,1;28,6;21,5;1216;718;1032,4033;575,394;87,173;147,67;238,83;0;TG;EOG 
29.12.2006;31,225;36,685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.2006;;;2578,553;497,875;2,1129;733,442;;;-2819,23;96,4571;20512;1837;;;;;;;;48,4;1971,7;17252;1263;4760,18;1924,517;3184,101;3777,715;2671,381;5313,078;8279,609;205,4598;;;6094,9;3470,9;28,1;20,7;1337;817;1133,5787;675,0993;94,9852;165,33;260,2333;0;TG;EOG 
31.12.2007;44,625;31,225;2901,003;589,74;2,3063;1185;;;-3679,062;95,8541;22469;1704;;;;;;;;65,5;1532,1;18827;1115;1137,195;1922,722;3203,569;3896,772;6742,136;4862,982;2802,823;247,9868;;;6669,1;5436,4;31,2;28,7;1470;1223;1290,8507;1074,9877;105,266;197,33;288,4;0;TG;EOG 
31.12.2008;33,29;44,625;4633,249;669,703;2,1629;1860;;;-5195,471;96,3754;21524;1944;;;;;;;;57;1432;17992;1294;1129,626;1555,136;3645,805;3726,267;7739,231;5705,539;2989,657;227,8698;;;7339,2;6087,1;45,5;39,5;1619;1162;1448,232;1228,6887;121,268;248,1667;331,3333;0;TG;EOG 
31.12.2009;48,65;33,29;2922,439;610,788;1,0936;2760;;;-3503,009;95,6386;21495;2260;;;;;;;;34;580;18244;1574;1245,914;1724,004;4185,139;3899,611;8283,142;6277,724;3114,64;364,3825;219,539;188,452;8898,1;6350,1;55,2;47,9;1645;1134;1796,0167;1338,291;128,834;259,4;352,97;0;TG;EOG 
31.12.2010;45,705;48,65;2708,602;603,153;1,5232;5003,341;;;-5791,382;96,019;15416;2818;;;;;;;;27;986;12954;2010;1325,254;1787,931;4403,325;3226,541;7772,542;5890,028;2547,752;206,6585;385,922;355,457;8470,2;6491,5;74,7;63,2;1688;1133;1949,531;1587,8077;141,036;281,5;386,4;0;TG;EOG 
30.12.2011;49,255;45,705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;EOG 
31.12.2011;;;4578,41;363,554;0,9388;5009,166;;;-6950,812;97,7273;14039;3616;;;;;;;;15;931;12071;2673;1303,03;1742,667;3572,98;3186,087;5921,746;4455,035;2523,372;166,7555;517,493;495,296;7850,9;6045,8;113,4;102;1602;1113;2053,7643;1729,5153;154,2855;329,1;422,7;0;TG;EOG 
31.12.2012;60,395;49,255;5236,777;445,598;1,095;5905,602;;;-7355,116;99,0153;13075;4264;;;;;;;;17;888;11413;3356;1258,069;1638,61;2970,523;3055,496;5432,133;3821,276;2458,502;-42,0984;700,818;671,029;4739,5;4036;157,9;149,3;1516;1034;1810,698;1662,108;170,7024;376,6;466,4;0;TG;EOG 
31.12.2013;83,92;60,395;7329,414;377,179;0,9454;5906,642;;;-7060,627;97,9979;12449;5069;;;;;;;;12;918;10971;4044;1452,786;1880,995;2706,054;3297,358;4988,62;3376,48;2658,991;263,7682;900,54;880,049;5044,8;4398,7;220,4;212,1;1347;908;2118,543;1989,166;186,1865;427,9;510,1;0;TG;EOG 
31.12.2014;92,07;83,92;8649,155;395,973;0,7627;5903,354;;;-8246,805;98,4598;5879;4733;;;;;;;;13;882;5068;3747;1621,498;2243,353;2590,927;2582,335;4145,235;2943,537;1914,85;272,8289;1139,75;1129,682;5342,6;4905,5;288,9;282;1353;920;2497,256;2414,202;217,0655;515;594,7;0;TG;EOG 
31.12.2015;70,79;92,07;3595,165;252,692;1,0275;6653,685;;;-5013,163;97,955;6113;4868;;;;;;;;6;473;5344;3858;1700,323;2168,651;2006,08;2437,882;3344,255;2293,303;1945,131;-79,5378;1097,596;1087,86;3825,9;3489,8;284,4;283,3;1265;886;2118,117;2052,361;208,853;507,9;572,2;0;TG;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;EOG 
#NAVN?;;;230,106;;;320,908;;;-219,394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;PXD 
31.12.1997;29;29;228,209;;;1943,718;;;-428,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;PXD 
31.12.1998;8,75;29;314,076;128,845;10,8748;1868,744;14,5721;507,3;-538,883;91,5002;4742;8442;;;;;;;;31,9;362,1;2787;4591;;;;2492,137;16816,8691;15353,4805;1365,845;-34,8438;;;2223,208;1545,644;59,052;;503,872;;676,839;527,2454;62,8756;132,285;172,262;0;TG;PXD 
31.12.1999;8,938;8,75;255,234;63,471;6,7898;1745,108;6,1342;179,7;-191,536;93,6272;2639;4506;;;;;;;;28,7;166,7;2013;3000;;;;1874,66;16592,354;15587,13;1052,57;-39,6979;;;1875,713;1314,842;42,339;31,366;434,13;290,67;605,452;478,2063;51,1007;103,686;140,002;0;TG;PXD 
29.12.2000;19,688;8,938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;PXD 
31.12.2000;;;430,096;130,77;3,4416;1578,776;10,1441;299,7;-299,682;88,103;2292;4247;;;;;;;;52,2;135,9;1879;2645;;;;1798,248;15801,98;15022,14;962,819;152,1915;;;1895,528;1354,327;34,249;24,561;371,157;229,316;628,184;492,5232;43,5549;84,318;119,0025;0;TG;PXD 
31.12.2001;19,26;19,688;475,6;220,029;6,2667;1577,304;16,1936;529,7;-547,313;80,0079;2392;4158;;;;;;;;49,1;152,6;1982;2573;;;;1750,714;20345,12;16284,44;1112,029;203,8045;;;2077,301;1474,09;34,241;23,641;350,314;212,629;671,376;524,8277;41,6089;157,7882;113,997;0;TG;PXD 
31.12.2002;25,25;19,26;332,245;131,478;7,2612;1668,535;17,791;614,7;-626,981;85,7702;2406;4148;;;;;;;;23,4;108;2194;3282;;;;1994,282;13151,85;8590,291;1343,194;257,7469;;;2135,38;1483,971;31,545;23,437;358,945;232,36;736,74;584,9595;41,4363;82,6757;113,524;0;TG;PXD 
31.12.2003;31,93;25,25;763,679;274,813;7,46;1555,461;17,4133;688,1;-697,998;84,7403;2474;4371;;;;;;;;40,3;246,8;2258;3523;;;;2227,723;13316,82;8154,964;1434,413;192,6146;;;2197,661;1553,976;35,304;24,525;581,406;445,609;789,058;621,747;56,4896;119,129;154,766;0;TG;PXD 
31.12.2004;35,1;31,93;1051,559;243,421;6,2204;2385,95;;;-599,877;88,5135;4705;4790;243,1;5,3;3288;3999;268;3563;3990;104,4;576,8;4089;3923;1201,843;1455,049;1479,96;2685,069;15631,11;9518,526;1796,161;439,2399;;;3680,578;3000,335;44,982;24,7;663,554;516,294;1022,221;863,313;64,864;130,428;177,224;0;TG;PXD 
30.12.2005;51,27;35,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;PXD 
31.12.2005;;;1277,154;361,644;7,6872;2058,412;;;-1162,882;95,0131;4891;5198;505;37;3531;4300;537;3669;3955;129;595;4382;4249;1247,853;1494,692;927,529;2812,712;14369,955;7970,937;1873,424;47,5508;;;3346,088;2750,856;44,087;25,943;670,527;497,068;986,7233;844,247;64,0834;126,1897;175,571;0;TG;PXD 
29.12.2006;39,69;51,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;PXD 
31.12.2006;;;754,828;487,042;9,9697;1497,162;;;-1499,314;96,8379;5087;4951;619;42;3916;4889;662;3932;4253;344;636;4632;3951;1224,47;1433,95;1491,449;2036,97;12293,255;6632,733;1516,544;-79,285;;;2927,827;2685,961;26,744;17,716;329,361;284,732;904,9422;854,3852;36,7148;83,6593;100,5885;0;TG;PXD 
31.12.2007;48,84;39,69;775,315;496,704;6,224;2755,491;;;-2203,866;98,4351;4830;5514;581;33;4362;5498;602;4213;4825;46;583;4215;4366;1233,249;1476,128;1519,679;1883,247;9481,91;4790,026;1366,574;242,1834;;;2964,414;2903,055;25,436;18,643;366,416;316,418;963,767;934,9335;38,4817;89,9323;105,4293;0;TG;PXD 
31.12.2008;16,18;48,84;1033,863;426,574;7,2575;2899,241;;;-1444,33;97,0175;4994;5402;504;46;4561;5374;526;4685;4988;49;504;4688;4569;4702,834;1544,085;1396,653;1951,204;8769,997;4544,559;1423,772;90,619;;;2979,757;2917,029;29,674;21,091;379,395;366,796;959,5762;935,0635;40,9752;101,271;111,954;0;TG;PXD 
31.12.2009;48,17;16,18;543,059;112,015;7,5757;2761,011;;;-462,585;95,5882;5027;5361;58;7;4566;5332;60;4604;5021;7;58;4607;4575;1269,463;1483,779;900,35;1890,898;7548,103;4048,256;1402,788;-34,6374;325,336;315,593;2498,801;2450,131;31,874;24,968;379,955;352,749;898,6368;880,7822;41,9312;103,44;114,88;0;TG;PXD 
31.12.2010;86,82;48,17;1285,023;277,656;3,3168;2601,67;;;-1195,772;99,0196;4842;5566;378;22;4769;5533;433;4347;4836;24;380;4350;4779;1287,56;1501,102;622,091;1918,105;6949,982;4131,462;1423,85;350,5112;380,809;360,716;2674,522;2635,702;33,707;28,211;367,865;335,256;1010,7807;984,2177;41,8852;103,823;114,754;0;TG;PXD 
30.12.2011;89,48;86,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;TG;PXD 
31.12.2011;;;1529,714;567,196;3,6157;2528,905;;;-2290,211;98,6023;5004;6111;661;115;5525;6111;725;4505;5004;115;661;4505;5525;1348,04;1603,656;964,537;1723,235;4967,479;2543,326;1401,321;195,7407;430,005;430,005;2543,704;2531,038;41,695;40,618;364,945;687,758;1064,9907;1062,6487;45,6272;240,836;125,006;0;TG;PXD 
31.12.2012;106,59;89,48;1837,577;966,828;5,3662;3721,193;;;-3054,882;98,4021;5306;6703;595;144;5960;6703;659;4755;5306;144;595;4755;5960;1437,95;1690,423;997,269;1690,423;1492,469;997,269;1437,95;137,4878;486,838;486,838;2197,48;2197,48;63,073;62,645;388,709;378,369;1085,6607;1085,6607;57,7083;155,522;157,673;0;TG;PXD 
31.12.2013;184,07;106,59;2146;1291;8,5003;2653;;;-2876;98,7342;5114;6956;382;164;6166;6956;444;4549;5114;164;382;4549;6166;1441,173;1692,013;812,628;1692,013;1193,731;812,628;1441,173;-260,2424;342,105;342,105;1906,341;1906,341;75,22;75,22;380,487;380,487;845,2505;845,2505;63,6009;174,249;174,249;0;TG;PXD 
31.12.2014;148,85;184,07;2366;1943;8,9613;2648;;;-3576;99,004;3706;7132;258;239;6318;7132;309;3351;3706;239;258;3351;6318;1114,056;1321,885;753,603;1321,885;1020,417;753,603;1114,056;38,3193;352,084;352,084;1668,872;1668,872;87,034;87,034;339,341;339,341;799,4733;799,4733;66,5165;182,237;182,237;0;TG;PXD 
31.12.2015;125,38;148,85;1248;1245;9,5607;3207;;;-2393;99,5652;3670;7414;78;151;6546;7414;116;3248;3670;151;78;3248;6546;1132,341;1343,89;667,538;1343,89;905,745;667,538;1132,341;-75,2741;311,97;311,97;1356,487;1356,487;105,347;105,347;360,662;360,662;664,3952;664,3952;74,4783;204,05;204,05;0;TG;PXD 
