Dates,Mean,Vol,Skew,Kurt,TTM,VolsAnnual,DateStr
726479,9.27667186763792e-05,6.41262876847959e-05,-12.9174806092083,343.332241539928,-0.0219178082191781,0.127121298359357,11-Jan-1989
726480,2.36529028642047e-06,8.39569447905234e-05,-13.3278964340905,363.786270102828,-0.0191780821917808,0.145454976151426,12-Jan-1989
726481,8.11980762668295e-05,3.55202208459126e-05,-23.4017060643853,1082.72214451311,-0.0164383561643836,0.0946102301718475,13-Jan-1989
726491,-0.000240000246758573,0.00048134656863333,-5.50508599983995,91.1840065026096,-0.073972602739726,0.348280541080893,23-Jan-1989
726492,-0.000153140056439084,0.000396666977304377,-6.06964211148144,106.299370773287,-0.0712328767123288,0.316164637935211,24-Jan-1989
726493,-0.000128147433057594,0.000370269926855111,-7.36561294618919,134.509390723929,-0.0684931506849315,0.305463617420288,25-Jan-1989
726494,-0.000192915973296171,0.000410634120115596,-6.35555284314058,110.138722157897,-0.0657534246575342,0.321682760292077,26-Jan-1989
726495,-0.000135078702696605,0.000359334276098136,-7.07027368606287,126.495821909235,-0.063013698630137,0.3009189883951,27-Jan-1989
726498,-0.000130374587413965,0.000296687847915442,-3.22297018692137,62.2766178688978,-0.0547945205479452,0.273432510273909,30-Jan-1989
726499,1.02493393376155e-05,0.000232600400680469,-3.65495392689011,68.6655443131241,-0.0520547945205479,0.242105970540749,31-Jan-1989
726500,-0.000177038345133312,0.000283318187120797,-3.67461935222196,66.9655412044372,-0.0493150684931507,0.267200642129544,01-Feb-1989
726501,3.55363744278405e-05,0.000180353137591047,-3.59544962025843,69.8433489687204,-0.0465753424657534,0.213187688840007,02-Feb-1989
726502,-5.15559899675246e-05,0.000207060623084226,-2.52811779236834,57.8036898787894,-0.0438356164383562,0.228427837658253,03-Feb-1989
726505,-7.81324641563313e-05,0.000197008468662187,-2.05698577764667,55.027781882695,-0.0356164383561644,0.222814124558725,06-Feb-1989
726506,-4.18660111547467e-05,0.000179274269452856,-3.34108035109063,66.5621657461012,-0.0328767123287671,0.212549090569966,07-Feb-1989
726507,-3.34612958105997e-05,0.000165156557192767,-2.90773218217631,63.1731638998669,-0.0301369863013699,0.204008461620045,08-Feb-1989
726508,-0.000123542347200482,0.000235814558628126,-5.67913953982907,102.089398649715,-0.0273972602739726,0.243772986145487,09-Feb-1989
726509,-0.00011669597491414,0.000217898483050146,-5.08656280886609,93.3158665497873,-0.0246575342465753,0.234329720113853,10-Feb-1989
726516,-0.000136485940455709,0.000440930519689189,-6.3170774279137,109.118094591651,-0.0821917808219178,0.333338403070627,17-Feb-1989
726520,-0.000135799807903937,0.00037997372516594,-4.6751807022933,81.2214440085502,-0.0712328767123288,0.309440428421719,21-Feb-1989
726521,-5.38719890844666e-05,0.000300087954133644,-5.97010772206577,105.019404845102,-0.0684931506849315,0.274994844391087,22-Feb-1989
726522,-9.24774028016313e-05,0.000333351905222064,-4.06433165195623,79.4160867669104,-0.0657534246575342,0.289835608778425,23-Feb-1989
